05/04/2022 15:36:35, File Created!
05/04/2022 15:38:03:422, 52, repeating_exercise
05/04/2022 15:38:03:695, 53, repeating_exercise
05/04/2022 15:38:03:934, 12, repeating_exercise
05/04/2022 15:38:04:204, 4, repeating_exercise
05/04/2022 15:38:04:485, 11, repeating_exercise
05/04/2022 15:38:04:775, 24, repeating_exercise
05/04/2022 15:38:05:047, 10, repeating_exercise
05/04/2022 15:38:05:371, 62, repeating_exercise
05/04/2022 15:38:05:653, 73, repeating_exercise
05/04/2022 15:38:06:127, 3, repeating_exercise
05/04/2022 15:38:06:403, 7, repeating_exercise
05/04/2022 15:38:06:671, 3, repeating_exercise
05/04/2022 15:38:06:942, 4, repeating_exercise
05/04/2022 15:38:07:482, 2, repeating_exercise
05/04/2022 15:38:07:817, 66, repeating_exercise
05/04/2022 15:38:08:089, 64, repeating_exercise
05/04/2022 15:38:08:304, 8, repeating_exercise
05/04/2022 15:38:08:574, 6, repeating_exercise
05/04/2022 15:38:08:918, 79, repeating_exercise
05/04/2022 15:38:09:131, 3, repeating_exercise
05/04/2022 15:38:09:401, 2, repeating_exercise
05/04/2022 15:38:09:683, 13, repeating_exercise
05/04/2022 15:38:09:946, 4, repeating_exercise
05/04/2022 15:38:10:217, 4, repeating_exercise
05/04/2022 15:38:10:488, 4, repeating_exercise
05/04/2022 15:38:10:759, 5, repeating_exercise
05/04/2022 15:38:11:027, 2, repeating_exercise
05/04/2022 15:38:11:302, 6, repeating_exercise
05/04/2022 15:38:11:572, 6, repeating_exercise
05/04/2022 15:38:11:891, 53, repeating_exercise
05/04/2022 15:38:12:179, 69, repeating_exercise
05/04/2022 15:38:12:389, 6, repeating_exercise
05/04/2022 15:38:12:660, 5, repeating_exercise
05/04/2022 15:38:12:929, 3, repeating_exercise
05/04/2022 15:38:13:199, 3, repeating_exercise
05/04/2022 15:38:13:470, 3, repeating_exercise
05/04/2022 15:38:13:776, 38, repeating_exercise
05/04/2022 15:38:14:026, 16, repeating_exercise
05/04/2022 15:38:14:286, 4, repeating_exercise
05/04/2022 15:38:14:617, 62, repeating_exercise
05/04/2022 15:38:14:903, 44, repeating_exercise
05/04/2022 15:38:15:151, 2, repeating_exercise
05/04/2022 15:38:15:427, 8, repeating_exercise
05/04/2022 15:38:15:694, 4, repeating_exercise
05/04/2022 15:38:15:964, 4, repeating_exercise
05/04/2022 15:38:16:233, 2, repeating_exercise
05/04/2022 15:38:16:507, 6, repeating_exercise
05/04/2022 15:38:16:776, 4, repeating_exercise
05/04/2022 15:38:17:050, 7, repeating_exercise
05/04/2022 15:38:17:317, 3, repeating_exercise
05/04/2022 15:38:17:644, 20, repeating_exercise
05/04/2022 15:38:17:909, 4, repeating_exercise
05/04/2022 15:38:18:179, 4, repeating_exercise
05/04/2022 15:38:18:451, 4, repeating_exercise
05/04/2022 15:38:18:734, 16, repeating_exercise
05/04/2022 15:38:18:993, 4, repeating_exercise
05/04/2022 15:38:19:263, 4, repeating_exercise
05/04/2022 15:38:19:578, 48, repeating_exercise
05/04/2022 15:38:19:816, 16, repeating_exercise
05/04/2022 15:38:20:116, 44, repeating_exercise
05/04/2022 15:38:20:347, 4, repeating_exercise
05/04/2022 15:38:20:620, 6, repeating_exercise
05/04/2022 15:38:20:888, 2, repeating_exercise
05/04/2022 15:38:21:229, 67, repeating_exercise
05/04/2022 15:38:21:468, 30, repeating_exercise
05/04/2022 15:38:21:715, 6, repeating_exercise
05/04/2022 15:38:21:983, 3, repeating_exercise
05/04/2022 15:38:22:255, 4, repeating_exercise
05/04/2022 15:38:22:524, 3, repeating_exercise
05/04/2022 15:38:22:795, 3, repeating_exercise
05/04/2022 15:38:23:066, 4, repeating_exercise
05/04/2022 15:38:23:336, 3, repeating_exercise
05/04/2022 15:38:23:609, 6, repeating_exercise
05/04/2022 15:38:23:878, 4, repeating_exercise
05/04/2022 15:38:24:152, 7, repeating_exercise
05/04/2022 15:38:24:452, 36, repeating_exercise
05/04/2022 15:38:24:693, 5, repeating_exercise
05/04/2022 15:38:25:021, 62, repeating_exercise
05/04/2022 15:38:25:248, 16, repeating_exercise
05/04/2022 15:38:25:510, 7, repeating_exercise
05/04/2022 15:38:25:784, 7, repeating_exercise
05/04/2022 15:38:26:067, 11, repeating_exercise
05/04/2022 15:38:26:341, 8, repeating_exercise
05/04/2022 15:38:26:610, 6, repeating_exercise
05/04/2022 15:38:26:880, 4, repeating_exercise
05/04/2022 15:38:27:198, 51, repeating_exercise
05/04/2022 15:38:27:421, 4, repeating_exercise
05/04/2022 15:38:27:710, 18, repeating_exercise
05/04/2022 15:38:27:973, 7, repeating_exercise
05/04/2022 15:38:28:241, 4, repeating_exercise
05/04/2022 15:38:28:514, 4, repeating_exercise
05/04/2022 15:38:28:794, 13, repeating_exercise
05/04/2022 15:38:29:055, 2, repeating_exercise
05/04/2022 15:38:29:328, 4, repeating_exercise
05/04/2022 15:38:29:598, 3, repeating_exercise
05/04/2022 15:38:29:868, 3, repeating_exercise
05/04/2022 15:38:30:195, 59, repeating_exercise
05/04/2022 15:38:30:430, 24, repeating_exercise
05/04/2022 15:38:30:679, 3, repeating_exercise
05/04/2022 15:38:30:951, 4, repeating_exercise
05/04/2022 15:38:31:287, 70, repeating_exercise
05/04/2022 15:38:31:516, 27, repeating_exercise
05/04/2022 15:38:31:765, 5, repeating_exercise
05/04/2022 15:38:32:035, 5, repeating_exercise
05/04/2022 15:38:32:306, 5, repeating_exercise
05/04/2022 15:38:32:577, 4, repeating_exercise
05/04/2022 15:38:32:899, 54, repeating_exercise
05/04/2022 15:38:33:120, 4, repeating_exercise
05/04/2022 15:38:33:388, 2, repeating_exercise
05/04/2022 15:38:33:661, 4, repeating_exercise
