06/04/2022 14:41:10, File Created!
06/04/2022 14:43:02:850, 43, repeating_exercise
06/04/2022 14:43:03:111, 34, repeating_exercise
06/04/2022 14:43:03:406, 47, repeating_exercise
06/04/2022 14:43:03:678, 18, repeating_exercise
06/04/2022 14:43:03:979, 43, repeating_exercise
06/04/2022 14:43:04:304, 94, repeating_exercise
06/04/2022 14:43:04:531, 45, repeating_exercise
06/04/2022 14:43:04:855, 89, repeating_exercise
06/04/2022 14:43:05:069, 19, repeating_exercise
06/04/2022 14:43:05:374, 48, repeating_exercise
06/04/2022 14:43:06:179, 20, repeating_exercise
06/04/2022 14:43:06:758, 27, repeating_exercise
06/04/2022 14:43:07:069, 48, repeating_exercise
06/04/2022 14:43:07:349, 41, repeating_exercise
06/04/2022 14:43:07:669, 72, repeating_exercise
06/04/2022 14:43:09:258, 111, repeating_exercise
06/04/2022 14:43:09:754, 26, repeating_exercise
06/04/2022 14:43:10:529, 123, repeating_exercise
06/04/2022 14:43:11:488, 104, repeating_exercise
06/04/2022 14:43:11:897, 203, repeating_exercise
06/04/2022 14:43:13:331, 82, repeating_exercise
06/04/2022 14:43:13:564, 43, repeating_exercise
06/04/2022 14:43:13:814, 21, repeating_exercise
06/04/2022 14:43:14:147, 76, repeating_exercise
06/04/2022 14:43:14:389, 27, repeating_exercise
06/04/2022 14:43:14:694, 56, repeating_exercise
06/04/2022 14:43:15:008, 96, repeating_exercise
06/04/2022 14:43:15:195, 11, repeating_exercise
06/04/2022 14:43:15:465, 7, repeating_exercise
06/04/2022 14:43:15:784, 52, repeating_exercise
06/04/2022 14:43:16:107, 97, repeating_exercise
06/04/2022 14:43:16:315, 31, repeating_exercise
06/04/2022 14:43:16:563, 3, repeating_exercise
06/04/2022 14:43:16:854, 22, repeating_exercise
06/04/2022 14:43:17:125, 13, repeating_exercise
06/04/2022 14:43:17:393, 8, repeating_exercise
06/04/2022 14:43:17:683, 20, repeating_exercise
06/04/2022 14:43:17:942, 6, repeating_exercise
06/04/2022 14:43:18:252, 43, repeating_exercise
06/04/2022 14:43:18:513, 27, repeating_exercise
06/04/2022 14:43:18:762, 3, repeating_exercise
06/04/2022 14:43:19:035, 5, repeating_exercise
06/04/2022 14:43:19:346, 44, repeating_exercise
06/04/2022 14:43:19:668, 90, repeating_exercise
06/04/2022 14:43:20:488, 46, repeating_exercise
06/04/2022 14:43:20:800, 75, repeating_exercise
06/04/2022 14:43:21:048, 52, repeating_exercise
06/04/2022 14:43:21:420, 154, repeating_exercise
06/04/2022 14:43:21:578, 35, repeating_exercise
06/04/2022 14:43:21:902, 78, repeating_exercise
06/04/2022 14:43:22:120, 23, repeating_exercise
06/04/2022 14:43:22:448, 77, repeating_exercise
06/04/2022 14:43:22:695, 51, repeating_exercise
06/04/2022 14:43:22:960, 45, repeating_exercise
06/04/2022 14:43:23:272, 85, repeating_exercise
06/04/2022 14:43:23:489, 30, repeating_exercise
06/04/2022 14:43:23:807, 65, repeating_exercise
06/04/2022 14:43:24:045, 31, repeating_exercise
06/04/2022 14:43:24:349, 61, repeating_exercise
06/04/2022 14:43:24:569, 8, repeating_exercise
06/04/2022 14:43:24:977, 145, repeating_exercise
06/04/2022 14:43:25:119, 15, repeating_exercise
06/04/2022 14:43:25:411, 37, repeating_exercise
06/04/2022 14:43:25:720, 71, repeating_exercise
06/04/2022 14:43:26:031, 101, repeating_exercise
06/04/2022 14:43:26:237, 33, repeating_exercise
06/04/2022 14:43:26:477, 2, repeating_exercise
06/04/2022 14:43:26:770, 24, repeating_exercise
06/04/2022 14:43:27:064, 47, repeating_exercise
06/04/2022 14:43:27:310, 19, repeating_exercise
06/04/2022 14:43:27:573, 6, repeating_exercise
06/04/2022 14:43:27:844, 5, repeating_exercise
06/04/2022 14:43:28:204, 94, repeating_exercise
06/04/2022 14:43:28:414, 34, repeating_exercise
06/04/2022 14:43:28:706, 55, repeating_exercise
06/04/2022 14:43:28:938, 17, repeating_exercise
06/04/2022 14:43:29:198, 6, repeating_exercise
06/04/2022 14:43:29:539, 76, repeating_exercise
06/04/2022 14:43:29:741, 7, repeating_exercise
06/04/2022 14:43:30:009, 4, repeating_exercise
06/04/2022 14:43:30:288, 13, repeating_exercise
06/04/2022 14:43:30:554, 8, repeating_exercise
06/04/2022 14:43:30:857, 38, repeating_exercise
06/04/2022 14:43:31:103, 13, repeating_exercise
06/04/2022 14:43:31:364, 3, repeating_exercise
06/04/2022 14:43:31:641, 9, repeating_exercise
06/04/2022 14:43:31:982, 75, repeating_exercise
06/04/2022 14:43:32:290, 113, repeating_exercise
06/04/2022 14:43:32:797, 76, repeating_exercise
06/04/2022 14:43:33:003, 10, repeating_exercise
06/04/2022 14:43:33:303, 38, repeating_exercise
06/04/2022 14:43:33:611, 66, repeating_exercise
06/04/2022 14:43:34:162, 36, repeating_exercise
06/04/2022 14:43:34:711, 17, repeating_exercise
06/04/2022 14:43:34:985, 17, repeating_exercise
06/04/2022 14:43:35:880, 31, repeating_exercise
06/04/2022 14:43:36:163, 30, repeating_exercise
06/04/2022 14:43:36:527, 104, repeating_exercise
06/04/2022 14:43:37:077, 70, repeating_exercise
06/04/2022 14:43:37:382, 98, repeating_exercise
06/04/2022 14:43:38:007, 39, repeating_exercise
06/04/2022 14:43:38:666, 104, repeating_exercise
06/04/2022 14:43:39:020, 147, repeating_exercise
06/04/2022 14:43:41:368, 54, repeating_exercise
06/04/2022 14:43:43:647, 53, repeating_exercise
06/04/2022 14:43:43:932, 59, repeating_exercise
06/04/2022 14:43:44:237, 81, repeating_exercise
06/04/2022 14:43:44:444, 12, repeating_exercise
06/04/2022 14:43:44:745, 39, repeating_exercise
06/04/2022 14:43:45:058, 81, repeating_exercise
06/04/2022 14:43:45:252, 4, repeating_exercise
06/04/2022 14:43:45:849, 42, repeating_exercise
06/04/2022 14:43:46:143, 38, repeating_exercise
06/04/2022 14:43:46:449, 71, repeating_exercise
06/04/2022 14:43:46:994, 69, repeating_exercise
06/04/2022 14:43:47:216, 21, repeating_exercise
06/04/2022 14:43:47:500, 35, repeating_exercise
06/04/2022 14:43:47:806, 46, repeating_exercise
06/04/2022 14:43:48:325, 12, repeating_exercise
06/04/2022 14:43:48:638, 51, repeating_exercise
06/04/2022 14:43:48:885, 19, repeating_exercise
06/04/2022 14:43:49:181, 36, repeating_exercise
06/04/2022 14:43:49:485, 67, repeating_exercise
06/04/2022 14:43:49:718, 28, repeating_exercise
06/04/2022 14:43:49:994, 34, repeating_exercise
06/04/2022 14:43:50:316, 84, repeating_exercise
06/04/2022 14:43:50:506, 4, repeating_exercise
06/04/2022 14:43:50:782, 8, repeating_exercise
06/04/2022 14:43:51:101, 55, repeating_exercise
06/04/2022 14:43:51:353, 36, repeating_exercise
06/04/2022 14:43:51:594, 7, repeating_exercise
06/04/2022 14:43:51:865, 8, repeating_exercise
06/04/2022 14:43:52:138, 10, repeating_exercise
06/04/2022 14:43:52:412, 10, repeating_exercise
06/04/2022 14:43:52:735, 61, repeating_exercise
06/04/2022 14:43:52:960, 16, repeating_exercise
06/04/2022 14:43:53:225, 8, repeating_exercise
06/04/2022 14:43:53:491, 3, repeating_exercise
06/04/2022 14:43:53:767, 9, repeating_exercise
06/04/2022 14:43:54:079, 50, repeating_exercise
06/04/2022 14:43:54:329, 29, repeating_exercise
06/04/2022 14:43:54:589, 17, repeating_exercise
06/04/2022 14:43:54:889, 46, repeating_exercise
06/04/2022 14:43:55:192, 67, repeating_exercise
