06/04/2022 10:53:58, File Created!
06/04/2022 11:55:53:597, 7, repeating_exercise
06/04/2022 11:55:53:866, 5, idle
06/04/2022 11:55:54:138, 6, idle
06/04/2022 11:55:54:408, 6, idle
06/04/2022 11:55:54:689, 10, idle
06/04/2022 11:55:54:958, 7, idle
06/04/2022 11:55:55:224, 3, idle
06/04/2022 11:55:55:495, 4, idle
06/04/2022 11:55:55:766, 4, idle
06/04/2022 11:55:56:038, 4, idle
06/04/2022 11:55:56:311, 6, idle
06/04/2022 11:55:56:582, 5, idle
06/04/2022 11:55:56:854, 3, idle
06/04/2022 11:55:57:127, 6, idle
06/04/2022 11:55:57:395, 3, idle
06/04/2022 11:55:57:679, 17, idle
06/04/2022 11:55:57:938, 4, idle
06/04/2022 11:55:58:212, 6, idle
06/04/2022 11:55:58:485, 7, idle
06/04/2022 11:55:58:758, 6, idle
06/04/2022 11:55:59:029, 4, idle
06/04/2022 11:55:59:300, 4, idle
06/04/2022 11:55:59:570, 4, idle
06/04/2022 11:55:59:841, 2, idle
06/04/2022 11:56:00:116, 6, idle
06/04/2022 11:56:00:385, 3, idle
06/04/2022 11:56:00:659, 6, idle
06/04/2022 11:56:00:932, 9, idle
06/04/2022 11:56:01:211, 12, idle
06/04/2022 11:56:01:507, 24, idle
06/04/2022 11:56:01:804, 41, idle
06/04/2022 11:56:02:052, 1, idle
06/04/2022 11:56:02:324, 2, idle
06/04/2022 11:56:02:597, 5, idle
06/04/2022 11:56:02:881, 15, idle
06/04/2022 11:56:03:145, 3, idle
06/04/2022 11:56:04:093, 135, idle
06/04/2022 11:56:04:245, 9, idle
06/04/2022 11:56:04:510, 4, idle
06/04/2022 11:56:04:782, 6, idle
06/04/2022 11:56:05:049, 2, repeating_exercise
06/04/2022 11:56:05:372, 55, repeating_exercise
06/04/2022 11:56:05:637, 50, repeating_exercise
06/04/2022 11:56:05:862, 4, repeating_exercise
06/04/2022 11:56:06:134, 6, repeating_exercise
06/04/2022 11:56:06:404, 6, repeating_exercise
06/04/2022 11:56:06:670, 1, repeating_exercise
06/04/2022 11:56:06:997, 56, repeating_exercise
06/04/2022 11:56:07:215, 4, repeating_exercise
06/04/2022 11:56:07:503, 21, repeating_exercise
06/04/2022 11:56:07:757, 4, idle
06/04/2022 11:56:08:033, 10, idle
06/04/2022 11:56:08:299, 6, idle
06/04/2022 11:56:08:601, 38, repeating_exercise
06/04/2022 11:56:08:899, 65, repeating_exercise
06/04/2022 11:56:09:148, 44, repeating_exercise
06/04/2022 11:56:09:400, 26, repeating_exercise
06/04/2022 11:56:09:653, 8, repeating_exercise
06/04/2022 11:56:09:919, 4, repeating_exercise
06/04/2022 11:56:10:189, 2, repeating_exercise
06/04/2022 11:56:10:460, 3, repeating_exercise
06/04/2022 11:56:10:733, 6, idle
06/04/2022 11:56:11:004, 6, idle
06/04/2022 11:56:11:271, 3, idle
06/04/2022 11:56:11:548, 9, idle
06/04/2022 11:56:11:822, 11, idle
06/04/2022 11:56:12:089, 8, idle
06/04/2022 11:56:12:357, 6, idle
06/04/2022 11:56:12:665, 43, repeating_exercise
06/04/2022 11:56:12:917, 24, repeating_exercise
06/04/2022 11:56:13:215, 52, repeating_exercise
06/04/2022 11:56:13:438, 5, idle
06/04/2022 11:56:13:798, 93, repeating_exercise
06/04/2022 11:56:13:989, 10, repeating_exercise
06/04/2022 11:56:14:259, 8, repeating_exercise
06/04/2022 11:56:14:527, 6, idle
06/04/2022 11:56:14:795, 4, idle
06/04/2022 11:56:15:084, 22, repeating_exercise
06/04/2022 11:56:15:387, 50, repeating_exercise
06/04/2022 11:56:15:609, 2, repeating_exercise
06/04/2022 11:56:15:881, 3, idle
06/04/2022 11:56:16:183, 35, repeating_exercise
06/04/2022 11:56:16:507, 88, repeating_exercise
06/04/2022 11:56:16:705, 15, repeating_exercise
06/04/2022 11:56:16:965, 5, idle
06/04/2022 11:56:17:235, 5, idle
06/04/2022 11:56:17:505, 4, idle
06/04/2022 11:56:17:778, 7, idle
06/04/2022 11:56:18:050, 5, idle
06/04/2022 11:56:18:323, 7, idle
06/04/2022 11:56:18:593, 5, idle
06/04/2022 11:56:18:864, 6, idle
06/04/2022 11:56:19:134, 5, idle
06/04/2022 11:56:19:408, 8, idle
06/04/2022 11:56:19:677, 5, idle
06/04/2022 11:56:19:950, 7, idle
06/04/2022 11:56:20:219, 6, idle
06/04/2022 11:56:20:491, 7, idle
06/04/2022 11:56:20:761, 6, idle
06/04/2022 11:56:21:031, 3, idle
06/04/2022 11:56:21:305, 7, idle
06/04/2022 11:56:21:574, 6, idle
06/04/2022 11:56:21:911, 72, repeating_exercise
06/04/2022 11:56:22:117, 6, repeating_exercise
06/04/2022 11:56:22:394, 10, repeating_exercise
06/04/2022 11:56:22:660, 5, repeating_exercise
06/04/2022 11:56:22:929, 2, repeating_exercise
06/04/2022 11:56:23:229, 32, repeating_exercise
06/04/2022 11:56:23:525, 57, repeating_exercise
06/04/2022 11:56:23:798, 58, idle
06/04/2022 11:56:24:016, 6, idle
06/04/2022 11:56:24:358, 76, repeating_exercise
06/04/2022 11:56:24:562, 7, repeating_exercise
06/04/2022 11:56:24:833, 6, repeating_exercise
06/04/2022 11:56:25:101, 4, repeating_exercise
06/04/2022 11:56:25:417, 49, repeating_exercise
06/04/2022 11:56:25:642, 4, repeating_exercise
06/04/2022 11:56:25:914, 4, repeating_exercise
06/04/2022 11:56:26:186, 4, idle
06/04/2022 11:56:26:456, 4, idle
06/04/2022 11:56:26:732, 9, repeating_exercise
06/04/2022 11:56:27:041, 47, repeating_exercise
06/04/2022 11:56:27:269, 5, repeating_exercise
06/04/2022 11:56:27:538, 3, repeating_exercise
06/04/2022 11:56:27:808, 3, idle
06/04/2022 11:56:28:147, 72, repeating_exercise
06/04/2022 11:56:28:348, 3, repeating_exercise
06/04/2022 11:56:28:620, 4, repeating_exercise
06/04/2022 11:56:28:889, 2, repeating_exercise
06/04/2022 11:56:29:161, 4, idle
06/04/2022 11:56:29:432, 2, idle
06/04/2022 11:56:29:777, 75, repeating_exercise
06/04/2022 11:56:29:977, 5, repeating_exercise
06/04/2022 11:56:30:248, 4, idle
06/04/2022 11:56:30:583, 69, repeating_exercise
06/04/2022 11:56:30:844, 60, repeating_exercise
06/04/2022 11:56:31:059, 5, repeating_exercise
06/04/2022 11:56:31:332, 4, idle
06/04/2022 11:56:31:602, 2, idle
06/04/2022 11:56:31:874, 4, repeating_exercise
06/04/2022 11:56:32:196, 55, repeating_exercise
06/04/2022 11:56:32:420, 9, repeating_exercise
06/04/2022 11:56:32:688, 6, repeating_exercise
06/04/2022 11:56:32:958, 4, repeating_exercise
06/04/2022 11:56:33:272, 48, repeating_exercise
06/04/2022 11:56:33:779, 10, repeating_exercise
06/04/2022 11:56:34:123, 80, idle
06/04/2022 11:56:34:320, 7, idle
06/04/2022 11:56:34:602, 17, idle
06/04/2022 11:56:34:875, 6, repeating_exercise
06/04/2022 11:56:35:144, 5, repeating_exercise
06/04/2022 11:56:35:412, 3, repeating_exercise
06/04/2022 11:56:35:703, 23, idle
06/04/2022 11:56:36:005, 53, repeating_exercise
06/04/2022 11:56:36:227, 5, repeating_exercise
06/04/2022 11:56:36:498, 5, idle
06/04/2022 11:56:36:847, 84, repeating_exercise
06/04/2022 11:56:37:038, 5, repeating_exercise
06/04/2022 11:56:37:309, 4, idle
06/04/2022 11:56:37:578, 3, idle
06/04/2022 11:56:37:851, 4, idle
06/04/2022 11:56:38:142, 24, idle
06/04/2022 11:56:38:395, 4, idle
06/04/2022 11:56:38:665, 4, idle
06/04/2022 11:56:38:935, 3, repeating_exercise
06/04/2022 11:56:39:208, 4, repeating_exercise
06/04/2022 11:56:39:478, 2, repeating_exercise
06/04/2022 11:56:39:750, 3, repeating_exercise
06/04/2022 11:56:40:026, 7, repeating_exercise
06/04/2022 11:56:40:293, 3, repeating_exercise
06/04/2022 11:56:40:564, 4, repeating_exercise
06/04/2022 11:56:40:835, 3, idle
06/04/2022 11:56:41:108, 7, idle
06/04/2022 11:56:41:376, 4, repeating_exercise
06/04/2022 11:56:41:650, 8, repeating_exercise
06/04/2022 11:56:41:929, 15, repeating_exercise
06/04/2022 11:56:42:207, 10, repeating_exercise
06/04/2022 11:56:42:471, 4, repeating_exercise
06/04/2022 11:56:42:744, 6, repeating_exercise
06/04/2022 11:56:43:055, 44, repeating_exercise
06/04/2022 11:56:43:304, 21, repeating_exercise
06/04/2022 11:56:43:559, 6, repeating_exercise
06/04/2022 11:56:43:871, 48, repeating_exercise
06/04/2022 11:56:44:105, 8, repeating_exercise
06/04/2022 11:56:44:374, 4, repeating_exercise
06/04/2022 11:56:44:704, 62, repeating_exercise
06/04/2022 11:56:44:950, 38, repeating_exercise
06/04/2022 11:56:45:191, 6, repeating_exercise
06/04/2022 11:56:45:462, 2, idle
06/04/2022 11:56:45:746, 16, idle
06/04/2022 11:56:46:011, 9, idle
06/04/2022 11:56:46:277, 4, idle
06/04/2022 11:56:46:590, 46, repeating_exercise
06/04/2022 11:56:46:823, 8, repeating_exercise
06/04/2022 11:56:47:096, 11, repeating_exercise
06/04/2022 11:56:47:359, 3, repeating_exercise
06/04/2022 11:56:47:633, 7, repeating_exercise
06/04/2022 11:56:47:958, 59, repeating_exercise
